Objectiu	Molt ben assolit	Assolit	Assolit amb ajuda	No assolit
Sumes amb i sense portar-ne (1–1000)	Resol sumes amb i sense portar-ne amb nombres fins al 1000 amb seguretat, autonomia i precisió, aplicant correctament el procediment i revisant el resultat quan cal.	Resol correctament sumes amb i sense portar-ne amb nombres fins al 1000, mostrant una bona comprensió del procediment treballat.	Resol sumes amb i sense portar-ne amb nombres fins al 1000, tot i que en alguns moments necessita suport per ordenar bé els nombres, aplicar el procediment o revisar el resultat.	Encara li costa resoldre sumes amb i sense portar-ne amb nombres fins al 1000, i necessita continuar treballant el procediment amb suport i pràctica guiada.
Restes sense portar-ne (1–1000)	Resol restes sense portar-ne amb nombres fins al 1000 amb molta seguretat, autonomia i precisió, col·locant correctament els nombres i aplicant el procediment de manera adequada.	Resol correctament restes sense portar-ne amb nombres fins al 1000 i mostra una bona comprensió del procediment treballat.	Resol restes sense portar-ne amb nombres fins al 1000, però en alguns casos necessita ajuda per col·locar bé els nombres, seguir l'ordre del procediment o revisar el resultat.	Encara presenta dificultats per resoldre restes sense portar-ne amb nombres fins al 1000 i necessita reforçar aquest contingut amb activitats guiades.
Resta portant-ne	Ha començat a entendre molt bé el funcionament de la resta portant-ne i és capaç de calcular-ne amb seguretat, aplicant el procediment de manera cada vegada més autònoma.	Ha començat a entendre el funcionament de la resta portant-ne i resol aquest tipus de restes de manera adequada en les situacions treballades a l'aula.	Ha iniciat la comprensió de la resta portant-ne, però encara necessita suport per aplicar correctament els passos i entendre el canvi entre unitats, desenes o centenes.	Encara li costa entendre i aplicar el procediment de la resta portant-ne, i necessita continuar treballant aquest contingut de manera manipulativa, visual i guiada.
Descomposició per sumar i restar	Utilitza l'estratègia de la descomposició per sumar i restar nombres amb molta seguretat, entenent el valor de cada xifra i aplicant-la de manera autònoma.	Utilitza l'estratègia de la descomposició per sumar i restar nombres de manera adequada, mostrant una bona comprensió del valor posicional.	Comença a utilitzar l'estratègia de la descomposició per sumar i restar nombres, tot i que encara necessita suport per separar correctament centenes, desenes i unitats.	Encara li costa utilitzar la descomposició com a estratègia de càlcul i necessita reforçar la comprensió del valor de les xifres dins del nombre.
Resolució de problemes	Participa activament en la resolució de problemes, comprèn bé les situacions plantejades, tria estratègies adequades i explica el seu raonament amb claredat.	Resol problemes adequats al nivell treballat, identificant les dades importants i aplicant estratègies matemàtiques de manera correcta.	Comença a resoldre problemes matemàtics, però sovint necessita ajuda per comprendre l'enunciat, identificar les dades importants o escollir l'operació adequada.	Encara presenta dificultats en la resolució de problemes i necessita suport per comprendre els enunciats, organitzar la informació i decidir quina estratègia utilitzar.
Dobles dels nombres (1–100)	Té molt ben automatitzats els dobles dels nombres treballats fins al 100 i els utilitza amb rapidesa i seguretat en situacions de càlcul.	Coneix i calcula correctament els dobles dels nombres treballats fins al 100, mostrant una bona evolució en l'agilitat del càlcul mental.	Calcula alguns dobles dels nombres treballats fins al 100, però encara necessita temps, suport o estratègies de referència per arribar al resultat.	Encara no té automatitzats els dobles dels nombres treballats fins al 100 i necessita continuar practicant-los per guanyar seguretat i rapidesa.
Meitats dels nombres parells (1–100)	Té molt ben automatitzades les meitats dels nombres parells treballats fins al 100 i les calcula amb rapidesa, seguretat i autonomia.	Calcula correctament les meitats dels nombres parells treballats fins al 100 i mostra una bona comprensió de la relació entre doble i meitat.	Calcula algunes meitats dels nombres parells treballats fins al 100, però encara necessita suport, temps o material de referència per assegurar el resultat.	Encara li costa calcular les meitats dels nombres parells treballats fins al 100 i necessita reforçar la relació entre doble i meitat.
Càlcul per deducció de fets	Utilitza estratègies de deducció per calcular amb molta seguretat, relacionant fets coneguts i aplicant-los de manera flexible en nous càlculs.	Comença a utilitzar fets coneguts per deduir nous resultats i mostra una bona evolució en l'ús d'estratègies de càlcul mental.	Comença a establir relacions entre càlculs coneguts i nous resultats, però encara necessita suport per aplicar aquestes deduccions de manera autònoma.	Encara li costa utilitzar fets coneguts per deduir nous càlculs i necessita continuar treballant estratègies de càlcul mental de manera guiada.
Representació i descomposició de nombres (1–1000)	Representa nombres fins al 1000 amb molta seguretat i els descompon correctament en centenes, desenes i unitats, demostrant una molt bona comprensió del sistema decimal.	Representa nombres fins al 1000 i els descompon correctament en centenes, desenes i unitats en les activitats treballades a l'aula.	Representa i descompon nombres fins al 1000, però encara necessita suport per identificar correctament el valor de les centenes, desenes i unitats.	Encara presenta dificultats per representar i descompondre nombres fins al 1000, i necessita reforçar la comprensió de les centenes, desenes i unitats.
Identificar nombres per propietats (1–100)	Identifica nombres entre 1 i 100 a partir de les seves propietats amb molta seguretat, utilitzant pistes i raonaments matemàtics de manera autònoma.	Identifica nombres entre 1 i 100 a partir de les seves propietats i mostra una bona capacitat per interpretar pistes matemàtiques.	Comença a identificar nombres entre 1 i 100 a partir de les seves propietats, però necessita ajuda per interpretar algunes pistes o comprovar el resultat.	Encara li costa identificar nombres entre 1 i 100 a partir de les seves propietats i necessita suport per relacionar les pistes amb el nombre corresponent.
